Id,TimeZone,UTC
1,Africa/Abidjan,+00:00
2,Africa/Accra,+00:00
3,Africa/Addis_Ababa,+03:00
4,Africa/Algiers,+01:00
5,Africa/Asmara,+03:00
6,Africa/Asmera,+03:00
7,Africa/Bamako,+00:00
8,Africa/Bangui,+01:00
9,Africa/Banjul,+00:00
10,Africa/Bissau,+00:00
11,Africa/Blantyre,+02:00
12,Africa/Brazzaville,+01:00
13,Africa/Bujumbura,+02:00
14,Africa/Cairo,+02:00
15,Africa/Casablanca,+01:00
16,Africa/Ceuta,+01:00
17,Africa/Conakry,+00:00
18,Africa/Dakar,+00:00
19,Africa/Dar_es_Salaam,+03:00
20,Africa/Djibouti,+03:00
21,Africa/Douala,+01:00
22,Africa/El_Aaiun,+01:00
23,Africa/Freetown,+00:00
24,Africa/Gaborone,+02:00
25,Africa/Harare,+02:00
26,Africa/Johannesburg,+02:00
27,Africa/Juba,+02:00
28,Africa/Kampala,+03:00
29,Africa/Khartoum,+02:00
30,Africa/Kigali,+02:00
31,Africa/Kinshasa,+01:00
32,Africa/Lagos,+01:00
33,Africa/Libreville,+01:00
34,Africa/Lome,+00:00
35,Africa/Luanda,+01:00
36,Africa/Lubumbashi,+02:00
37,Africa/Lusaka,+02:00
38,Africa/Malabo,+01:00
39,Africa/Maputo,+02:00
40,Africa/Maseru,+02:00
41,Africa/Mbabane,+02:00
42,Africa/Mogadishu,+03:00
43,Africa/Monrovia,+00:00
44,Africa/Nairobi,+03:00
45,Africa/Ndjamena,+01:00
46,Africa/Niamey,+01:00
47,Africa/Nouakchott,+00:00
48,Africa/Ouagadougou,+00:00
49,Africa/Porto-Novo,+01:00
50,Africa/Sao_Tome,+00:00
51,Africa/Timbuktu,+00:00
52,Africa/Tripoli,+02:00
53,Africa/Tunis,+01:00
54,Africa/Windhoek,+02:00
55,America/Adak,−10:00
56,America/Anchorage,−09:00
57,America/Anguilla,−04:00
58,America/Antigua,−04:00
59,America/Araguaina,−03:00
60,America/Argentina/Buenos_Aires,−03:00
61,America/Argentina/Catamarca,−03:00
